Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,13C
68,141.09211739544395,141.09211739544395,141.0921031582504,388.9221742394811,-0.2627302729053614,222752.64109056053,19.243519379941763,-1,-0.10090708991479284,0.945002217985007,0.0,0.5670013307910042,2.0,1.75,0.25,O2,de-protonated,0,,C8 H14 O2,8,14,2,
69,141.12852058852548,141.12852058852548,141.1284886676347,228.07079987826182,-0.15339028482108114,222723.89109689926,11.28473804826996,-1,-0.22618318288538014,0.7526042644441355,0.0,0.4515625586664813,1.0,2.0,0.1111111111111111,O1,de-protonated,0,,C9 H18 O1,9,18,1,
71,142.9986397332357,142.9986397332357,142.99859669457553,525.1754538497657,-0.37100501773973155,221263.0167575406,25.98520910716886,-1,-0.3009726051546648,0.6045642837760468,0.0,0.36273857026562806,4.0,0.8,1.0,O5,de-protonated,0,,C5 H4 O5,5,4,5,
72,143.0350245870052,143.0350245870052,143.0349822039598,2417.556194651379,-2.105212218832071,221234.89175759905,119.61850613132101,-1,-0.29631244579460403,0.7175695273604452,0.9989000505840804,0.8301017366498993,3.0,1.3333333333333333,0.6666666666666666,O4,de-protonated,0,,C6 H8 O4,6,8,4,
75,144.03836416576254,144.03836416576254,144.03833703903211,161.06776363753977,-0.11113573117722515,220463.01713393177,7.969488078440943,-1,-0.18832993345775906,0.8211533893471322,0.9989000505840804,0.8922520538419114,3.0,1.6,0.8,13C1 O4,de-protonated,1,72,C5 H8 O4 13C1,5,8,4,1
73,143.07138953279303,143.07138953279303,143.0713677133441,1325.1665835041451,-0.9337554774565274,221206.76679286297,65.56805068052232,-1,-0.15250744632433624,0.8787858794600005,0.0,0.5272715276760003,2.0,1.7142857142857142,0.42857142857142855,O3,de-protonated,0,,C7 H12 O3,7,12,3,
74,143.10777298362527,143.10777298362527,143.1077532227284,906.8165987617779,-0.6369914883256655,221178.64183223966,44.86846970463555,-1,-0.13808404098971586,0.8994885975626671,0.0,0.5396931585376002,1.0,2.0,0.25,O2,de-protonated,0,,C8 H16 O2,8,16,2,
78,145.01425207411387,145.01425207411387,145.01424675905352,1455.0278000472513,-1.816092271497401,219719.64247642565,71.99346687628623,-1,-0.03665198742856628,0.9925646236314565,0.0,0.5955387741788739,3.0,1.2,1.0,O5,de-protonated,0,,C5 H6 O5,5,6,5,
79,145.05062039372314,145.05062039372314,145.05063226843782,3595.142110488939,-2.594362932040835,219692.39244762046,177.88439811158383,-1,0.081865997420364,0.9338208641726357,0.9940104502425682,0.9578966986006088,2.0,1.6666666666666667,0.6666666666666666,O4,de-protonated,0,,C6 H10 O4,6,10,4,
81,146.05396743837872,146.05396743837872,146.0539871035101,210.74402172904388,-0.15151768166590035,218936.51784117476,10.427424649365847,-1,0.13464289322015982,0.9041906468388023,0.9940104502425682,0.9401185682003086,2.0,2.0,0.8,13C1 O4,de-protonated,1,79,C5 H10 O4 13C1,5,10,4,1
80,145.08699189374286,145.08699189374286,145.0870177778221,466.34327995979464,-0.32342395598849144,219664.89247451228,23.07424605748005,-1,0.1784038271099898,0.837929083072617,0.0,0.5027574498435702,1.0,2.0,0.42857142857142855,O3,de-protonated,0,,C7 H14 O3,7,14,3,
83,147.0298722146225,147.0298722146225,147.02989682353152,2637.6220128517093,-1.9358701844423127,218208.39315440465,130.50716488594674,-1,0.16737350403777093,0.8676167827469491,0.997691391686531,0.9196466263227818,2.0,1.6,1.0,O5,de-protonated,0,,C5 H8 O5,5,8,5,
85,148.03322913956615,148.03322913956615,148.03325165860383,136.93952373930804,-0.10079396607046053,217467.6434611561,6.775644469514692,-1,0.15212148238948456,0.8793600888383885,0.997691391686531,0.9266926099776455,2.0,2.0,1.25,13C1 O5,de-protonated,1,83,C4 H8 O5 13C1,4,8,5,1
84,147.06622725908403,147.06622725908403,147.06628233291582,254.81423017597078,-0.17871523689865068,218181.39315678927,12.60797892602766,-1,0.37448306243103135,0.4588198736662423,0.0,0.27529192419974535,1.0,2.0,0.6666666666666666,O4,de-protonated,0,,C6 H12 O4,6,12,4,
87,149.0243852080828,149.0243852080828,149.02441751991012,134.44976022893798,-0.09632683849589888,216743.5188356253,6.652453210345765,-1,0.2168223694432003,0.7701442501377723,0.0,0.46208655008266336,6.0,0.75,0.375,O3,de-protonated,0,,C8 H6 O3,8,6,3,
88,151.04005821300484,151.04005821300484,151.0400675843881,255.47329795357376,-0.19371926861210323,215292.14448581502,12.64058900688972,-1,0.06204567715739997,0.9788400472278146,0.0,0.5873040283366887,5.0,1.0,0.375,O3,de-protonated,0,,C8 H8 O3,8,8,3,
89,151.07642181780977,151.07642181780977,151.07645309377241,149.4720540513372,-0.1093274906696115,215266.51951852394,7.395742797440676,-1,0.20702076333273725,0.7881256416936606,0.0,0.47287538501619636,4.0,1.3333333333333333,0.2222222222222222,O2,de-protonated,0,,C9 H12 O2,9,12,2,
91,153.01933754298656,153.01933754298656,153.0193321394818,970.5196471311398,-1.5931085871458381,213895.52015998706,48.02043924263969,-1,-0.03531256268574081,0.9930962903904241,0.0,0.5958577742342545,5.0,0.8571428571428571,0.5714285714285714,O4,de-protonated,0,,C7 H6 O4,7,6,4,
92,153.05568607280733,153.05568607280733,153.0557176488661,209.5320689662812,-0.1550276411300007,213870.14514609217,10.367458316709698,-1,0.20630433974605403,0.7894232448284841,0.0,0.47365394689709045,4.0,1.25,0.375,O3,de-protonated,0,,C8 H10 O3,8,10,3,
93,153.0920653804576,153.0920653804576,153.0921031582504,152.59169293983217,-0.11277885824643362,213844.39519548006,7.550099723801495,-1,0.24676513048599702,0.712985205080434,0.0,0.42779112304826034,3.0,1.5555555555555556,0.2222222222222222,O2,de-protonated,0,,C9 H14 O2,9,14,2,
96,154.99861040510874,154.99861040510874,154.99859669457553,269.4346816118193,-0.2106229676052785,212525.14583463123,13.331385713258069,-1,-0.08845585381075345,0.9574621388236008,0.0,0.5744772832941605,5.0,0.6666666666666666,0.8333333333333334,O5,de-protonated,0,,C6 H4 O5,6,4,5,
97,155.03500456312102,155.03500456312102,155.0349822039598,2923.9849724332435,-2.3068655299691847,212500.5208343673,144.67614656764312,-1,-0.14422010376832092,0.9332754001537631,0.9918363192948287,0.9566997678101893,4.0,1.1428571428571428,0.5714285714285714,O4,de-protonated,0,,C7 H8 O4,7,8,4,
100,156.0383474273362,156.0383474273362,156.03833703903211,195.60258790929223,-0.15683595746481355,211815.89615775747,9.678240122357929,-1,-0.06657533189369647,0.9756769424190705,0.9918363192948287,0.9821406931693738,4.0,1.3333333333333333,0.6666666666666666,13C1 O4,de-protonated,1,97,C6 H8 O4 13C1,6,8,4,1
98,155.0713304061389,155.0713304061389,155.0713677133441,397.50773328094715,-0.30437930357023557,169980.36667504496,19.668325119355202,-1,0.24058087408490514,0.7250237456190095,0.0,0.4350142473714057,3.0,1.5,0.375,O3,de-protonated,0,,C8 H12 O3,8,12,3,
99,155.10771824261545,155.10771824261545,155.1077532227284,241.5358821368302,-0.18990705945769998,212450.39585873595,11.950978207761915,-1,0.22552136969644535,0.7538552282465403,0.0,0.45231313694792413,2.0,1.7777777777777777,0.2222222222222222,O2,de-protonated,0,,C9 H16 O2,9,16,2,
