Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula
35,323.1478830041171,323.1478830041171,,0.1537862691601545,-0.00012573159315017567,428608.91588353744,34.86673091645644,-1,,,,,,,,unassigned,,,,
36,323.2206303975186,323.2206303975186,,0.14453639959622558,-0.00011205105266165186,428512.5159231821,32.76958196512866,-1,,,,,,,,unassigned,,,,
37,325.1845359855808,325.1845359855808,,2.336346270477464,-0.0018380206444296564,425924.5160893423,529.7011052109617,-1,,,,,,,,unassigned,,,,
38,325.8961271984341,325.8961271984341,,0.1839817146258708,-0.00014592818257878277,424994.5158433883,41.712702781859136,-1,,,,,,,,unassigned,,,,
39,326.18789995023633,326.18789995023633,,0.45779524719995984,-0.00036905018972765215,424614.3158432281,103.79225522618577,-1,,,,,,,,unassigned,,,,
40,326.90352331662683,326.90352331662683,,0.20514719563352057,-0.00016305467430983802,423684.9158646586,46.51138302191727,-1,,,,,,,,unassigned,,,,
41,327.16380585870894,327.16380585870894,,0.1561363190768671,-0.00012616450707516062,423347.7159033062,35.399538939784755,-1,,,,,,,,unassigned,,,,
42,328.9039157472087,328.9039157472087,,0.20832660565687128,-0.0001715044673353319,350923.2632956588,47.232225229499576,-1,,,,,,,,unassigned,,,,
43,329.2336102359874,329.2336102359874,,0.14534338926044177,-0.00011729811807708438,420686.31598395866,32.95254427787769,-1,,,,,,,,unassigned,,,,
44,338.761248750692,338.761248750692,,0.16156184347669372,-0.00013989008398147845,408854.51588611153,36.62962469687156,-1,,,,,,,,unassigned,,,,
45,339.2002001091388,339.2002001091388,,0.400976541777787,-0.0003420830634122875,408325.5160019164,90.91020454770039,-1,,,,,,,,unassigned,,,,
46,339.9117959109406,339.9117959109406,,0.34297431477188056,-0.0002957411421676113,407470.7159667905,77.75982348562994,-1,,,,,,,,unassigned,,,,
47,341.1972327949426,341.1972327949426,,0.17315482402945045,-0.00014983549590226653,405935.5159521247,39.258008463901724,-1,,,,,,,,unassigned,,,,
48,348.8859183383683,348.8859183383683,,0.164069727453895,-0.0001473359994111994,396989.51606281684,37.198217174472454,-1,,,,,,,,unassigned,,,,
49,351.25195057841995,351.25195057841995,,0.18837126152129494,-0.0001754398462599533,394315.5160756341,42.7079096444987,-1,,,,,,,,unassigned,,,,
50,352.8538629657872,352.8538629657872,,0.4499124388041213,-0.0004167133242191859,392525.31611670775,102.00504912056488,-1,,,,,,,,unassigned,,,,
51,353.92744925092484,353.92744925092484,,0.9582162418382821,-0.0008957671383398962,391334.7159819721,217.24870527394205,-1,,,,,,,,unassigned,,,,
